PassengerId,Survived,Sex,Pclass,Is_from_Cherbourg,Is_Child,FareBin_Code,AgeBin_Code
1,0.0,1,3,0,0,0,0
2,1.0,0,1,1,0,4,3
3,1.0,0,3,0,0,1,1
4,1.0,0,1,0,0,4,2
5,0.0,1,3,0,0,1,2
6,0.0,1,3,0,0,1,1
7,0.0,1,1,0,0,4,3
8,0.0,1,3,0,1,2,0
9,1.0,0,3,0,0,2,1
10,1.0,0,2,1,0,3,0
11,1.0,0,3,0,1,2,0
12,1.0,0,1,0,0,3,3
13,0.0,1,3,0,0,1,0
14,0.0,1,3,0,0,3,3
15,0.0,0,3,0,0,0,0
16,1.0,0,2,0,0,2,3
17,0.0,1,3,0,1,3,0
18,1.0,1,2,0,0,2,2
19,0.0,0,3,0,0,2,2
20,1.0,0,3,1,0,0,3
21,0.0,1,2,0,0,3,2
22,1.0,1,2,0,0,2,2
23,1.0,0,3,0,0,1,0
24,1.0,1,1,0,0,3,1
25,0.0,0,3,0,1,2,0
26,1.0,0,3,0,0,3,3
27,0.0,1,3,1,0,0,1
28,0.0,1,1,0,0,4,0
29,1.0,0,3,0,0,1,0
30,0.0,1,3,0,0,1,1
31,0.0,1,1,1,0,3,3
32,1.0,0,1,1,0,4,3
33,1.0,0,3,0,0,0,1
34,0.0,1,2,0,0,1,3
35,0.0,1,1,1,0,4,1
36,0.0,1,1,0,0,4,3
37,1.0,1,3,1,0,0,1
38,0.0,1,3,0,0,1,0
39,0.0,0,3,0,0,2,0
40,1.0,0,3,1,0,2,0
41,0.0,0,3,0,0,1,3
42,0.0,0,2,0,0,2,1
43,0.0,1,3,1,0,1,1
44,1.0,0,2,1,1,3,0
45,1.0,0,3,0,0,1,0
46,0.0,1,3,0,0,1,2
47,0.0,1,3,0,0,2,2
48,1.0,0,3,0,0,0,1
49,0.0,1,3,1,0,2,1
50,0.0,0,3,0,0,2,0
51,0.0,1,3,0,1,3,0
52,0.0,1,3,0,0,0,0
53,1.0,0,1,1,0,4,3
54,1.0,0,2,0,0,3,2
55,0.0,1,1,1,0,4,3
56,1.0,1,1,0,0,3,3
57,1.0,0,2,0,0,1,0
58,0.0,1,3,1,0,0,2
59,1.0,0,2,0,1,3,0
60,0.0,1,3,0,0,4,0
61,0.0,1,3,1,0,0,0
62,1.0,0,1,0,0,4,3
63,0.0,1,1,0,0,4,3
64,0.0,1,3,0,1,3,0
65,0.0,1,1,1,0,3,2
66,1.0,1,3,1,1,2,0
67,1.0,0,2,0,0,1,2
68,0.0,1,3,0,0,1,0
69,1.0,0,3,0,0,1,0
70,0.0,1,3,0,0,1,1
71,0.0,1,2,0,0,1,2
72,0.0,0,3,0,0,4,0
73,0.0,1,2,0,0,4,0
74,0.0,1,3,1,0,2,1
75,1.0,1,3,0,0,4,2
76,0.0,1,3,0,0,0,1
77,0.0,1,3,0,0,1,1
78,0.0,1,3,0,0,1,2
79,1.0,1,2,0,1,3,0
80,1.0,0,3,0,0,2,2
81,0.0,1,3,0,0,1,0
82,1.0,1,3,0,0,1,2
83,1.0,0,3,0,0,0,1
84,0.0,1,1,0,0,4,1
85,1.0,0,2,0,0,1,0
86,1.0,0,3,0,0,2,2
87,0.0,1,3,0,0,3,0
88,0.0,1,3,0,0,1,2
89,1.0,0,1,0,0,4,1
90,0.0,1,3,0,0,1,1
91,0.0,1,3,0,0,1,2
92,0.0,1,3,0,0,0,0
93,0.0,1,1,0,0,4,3
94,0.0,1,3,0,0,2,1
95,0.0,1,3,0,0,0,3
96,0.0,1,3,0,0,1,2
97,0.0,1,1,1,0,3,3
98,1.0,1,1,1,0,4,1
99,1.0,0,2,0,0,3,2
100,0.0,1,2,0,0,3,2
101,0.0,0,3,0,0,1,1
102,0.0,1,3,0,0,1,1
103,0.0,1,1,0,0,4,0
104,0.0,1,3,0,0,1,2
105,0.0,1,3,0,0,1,2
106,0.0,1,3,0,0,1,1
107,1.0,0,3,0,0,0,0
108,1.0,1,3,0,0,0,1
109,0.0,1,3,0,0,1,3
110,1.0,0,3,0,0,3,0
111,0.0,1,1,0,0,4,3
112,0.0,0,3,1,0,2,0
113,0.0,1,3,0,0,1,0
114,0.0,0,3,0,0,1,0
115,0.0,0,3,1,0,2,0
116,0.0,1,3,0,0,1,0
117,0.0,1,3,0,0,0,3
118,0.0,1,2,0,0,2,2
119,0.0,1,1,1,0,4,1
120,0.0,0,3,0,1,3,0
121,0.0,1,2,0,0,4,0
122,0.0,1,3,0,0,1,2
123,0.0,1,2,1,0,3,2
124,1.0,0,2,0,0,2,2
125,0.0,1,1,0,0,4,3
126,1.0,1,3,1,0,2,0
127,0.0,1,3,0,0,0,2
128,1.0,1,3,0,0,0,1
129,1.0,0,3,1,1,3,0
130,0.0,1,3,0,0,0,3
131,0.0,1,3,1,0,1,2
132,0.0,1,3,0,0,0,0
133,0.0,0,3,0,0,2,3
134,1.0,0,2,0,0,3,2
135,0.0,1,2,0,0,2,1
136,0.0,1,2,1,0,2,1
137,1.0,0,1,0,0,3,0
138,0.0,1,1,0,0,4,2
139,0.0,1,3,0,0,1,0
140,0.0,1,1,1,0,4,1
141,0.0,0,3,1,0,2,2
142,1.0,0,3,0,0,0,0
143,1.0,0,3,0,0,2,1
144,0.0,1,3,0,0,0,0
145,0.0,1,2,0,0,2,0
146,0.0,1,2,0,0,3,0
147,1.0,1,3,0,0,0,1
148,0.0,0,3,0,0,3,0
149,0.0,1,2,0,0,3,2
150,0.0,1,2,0,0,2,3
151,0.0,1,2,0,0,2,3
152,1.0,0,1,0,0,4,0
153,0.0,1,3,0,0,1,3
154,0.0,1,3,0,0,2,3
155,0.0,1,3,0,0,0,2
156,0.0,1,1,1,0,4,3
157,1.0,0,3,0,0,0,0
158,0.0,1,3,0,0,1,2
159,0.0,1,3,0,0,1,1
160,0.0,1,3,0,0,4,0
161,0.0,1,3,0,0,2,3
162,1.0,0,2,0,0,2,3
163,0.0,1,3,0,0,0,1
164,0.0,1,3,0,0,1,0
165,0.0,1,3,0,1,3,0
166,1.0,1,3,0,0,2,0
167,1.0,0,1,0,0,4,3
168,0.0,0,3,0,0,3,3
169,0.0,1,1,0,0,3,3
170,0.0,1,3,0,0,4,1
171,0.0,1,1,0,0,3,3
172,0.0,1,3,0,1,3,0
173,1.0,0,3,0,1,2,0
174,0.0,1,3,0,0,1,0
175,0.0,1,1,1,0,3,3
176,0.0,1,3,0,0,0,0
177,0.0,1,3,0,1,3,0
178,0.0,0,1,1,0,3,3
179,0.0,1,2,0,0,2,2
180,0.0,1,3,0,0,0,2
181,0.0,0,3,0,0,4,1
182,0.0,1,2,1,0,2,2
183,0.0,1,3,0,0,3,0
184,1.0,1,2,0,1,3,0
185,1.0,0,3,0,1,3,0
186,0.0,1,1,0,0,4,3
187,1.0,0,3,0,0,2,2
188,1.0,1,1,0,0,3,3
189,0.0,1,3,0,0,2,3
190,0.0,1,3,0,0,1,2
191,1.0,0,2,0,0,2,2
192,0.0,1,2,0,0,2,0
193,1.0,0,3,0,0,0,0
194,1.0,1,2,0,1,3,0
195,1.0,0,1,1,0,3,3
196,1.0,0,1,1,0,4,3
197,0.0,1,3,0,0,0,2
198,0.0,1,3,0,0,1,3
199,1.0,0,3,0,0,0,1
200,0.0,0,2,0,0,2,1
201,0.0,1,3,0,0,1,1
202,0.0,1,3,0,0,4,0
203,0.0,1,3,0,0,0,2
204,0.0,1,3,1,0,0,3
205,1.0,1,3,0,0,1,0
206,0.0,0,3,0,1,1,0
207,0.0,1,3,0,0,2,2
208,1.0,1,3,1,0,2,1
209,1.0,0,3,0,0,0,0
210,1.0,1,1,1,0,3,3
211,0.0,1,3,0,0,0,1
212,1.0,0,2,0,0,2,2
213,0.0,1,3,0,0,0,0
214,0.0,1,2,0,0,2,2
215,0.0,1,3,0,0,0,2
216,1.0,0,1,1,0,4,2
217,1.0,0,3,0,0,1,1
218,0.0,1,2,0,0,3,3
219,1.0,0,1,1,0,4,2
220,0.0,1,2,0,0,1,2
221,1.0,1,3,0,0,1,0
222,0.0,1,2,0,0,2,1
223,0.0,1,3,0,0,1,3
224,0.0,1,3,0,0,1,1
225,1.0,1,1,0,0,4,3
226,0.0,1,3,0,0,1,0
227,1.0,1,2,0,0,1,0
228,0.0,1,3,0,0,0,0
229,0.0,1,2,0,0,2,0
230,0.0,0,3,0,1,3,0
231,1.0,0,1,0,0,4,2
232,0.0,1,3,0,0,0,2
233,0.0,1,2,0,0,2,3
234,1.0,0,3,0,1,3,0
235,0.0,1,2,0,0,1,1
236,0.0,0,3,0,0,0,1
237,0.0,1,2,0,0,3,3
238,1.0,0,2,0,1,3,0
239,0.0,1,2,0,0,1,0
240,0.0,1,2,0,0,2,2
241,0.0,0,3,1,0,2,0
242,1.0,0,3,0,0,2,0
243,0.0,1,2,0,0,1,2
244,0.0,1,3,0,0,0,0
245,0.0,1,3,1,0,0,2
246,0.0,1,1,0,0,4,3
247,0.0,0,3,0,0,0,1
248,1.0,0,2,0,0,2,1
249,1.0,1,1,0,0,4,2
250,0.0,1,2,0,0,3,3
251,0.0,1,3,0,0,0,2
252,0.0,0,3,0,0,1,2
253,0.0,1,1,0,0,3,3
