PassengerId,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Sex,SurnameID,AverageSurvivalRate,Surname_encoded,Embarked_encoded,Speech_encoded
1,0.0,3,22.0,1,0,A/5 21171,7.25,1,0,0.0,100,2,12
2,1.0,1,38.0,1,0,PC 17599,71.2833,0,1,1.0,182,0,13
3,1.0,3,26.0,0,0,STON/O2. 3101282,7.925,0,2,1.0,329,2,9
4,1.0,1,35.0,1,0,113803,53.1,0,3,0.5,267,2,13
5,0.0,3,35.0,0,0,373450,8.05,1,4,0.5,15,2,12
6,0.0,3,34.28,0,0,330877,8.4583,1,5,0.3333333333333333,538,1,12
7,0.0,1,54.0,0,0,17463,51.8625,1,6,0.0,500,2,12
8,0.0,3,2.0,3,1,349909,21.075,1,7,0.0,608,2,8
9,1.0,3,27.0,0,2,347742,11.1333,0,8,0.5,382,2,13
10,1.0,2,14.0,1,0,237736,30.0708,0,9,0.5,559,0,13
11,1.0,3,4.0,1,1,PP 9549,16.7,0,10,1.0,707,2,9
12,1.0,1,58.0,0,0,113783,26.55,0,11,1.0,86,2,9
13,0.0,3,20.0,0,0,A/5. 2151,8.05,1,12,0.0,709,2,12
14,0.0,3,39.0,1,5,347082,31.275,1,13,0.2222222222222222,21,2,12
15,0.0,3,14.0,0,0,350406,7.8542,0,14,0.0,821,2,9
16,1.0,2,55.0,0,0,248706,16.0,0,15,1.0,336,2,13
17,0.0,3,2.0,4,1,382652,29.125,1,16,0.0,664,1,8
18,1.0,2,34.665,0,0,244373,13.0,1,17,0.25,850,2,12
19,0.0,3,31.0,1,0,345763,18.0,0,18,0.0,817,2,13
20,1.0,3,29.825,0,0,2649,7.225,0,19,1.0,494,0,13
21,0.0,2,35.0,0,0,239865,26.0,1,20,0.0,268,2,12
22,1.0,2,34.0,0,0,248698,13.0,1,21,1.0,68,2,12
23,1.0,3,15.0,0,0,330923,8.0292,0,22,1.0,509,1,9
24,1.0,1,28.0,0,0,113788,35.5,1,23,1.0,744,2,12
25,0.0,3,8.0,3,1,349909,21.075,0,7,0.0,608,2,9
26,1.0,3,38.0,1,5,347077,31.3875,0,24,0.75,33,2,13
27,0.0,3,34.385,0,0,2631,7.225,1,25,0.0,237,0,12
28,0.0,1,19.0,3,2,19950,263.0,1,26,0.5,257,2,12
29,1.0,3,20.815,0,0,330959,7.8792,0,27,1.0,587,1,9
30,0.0,3,31.37,0,0,349216,7.8958,1,28,0.0,794,2,12
31,0.0,1,40.0,0,0,PC 17601,27.7208,1,29,0.0,810,0,2
32,1.0,1,45.61,1,0,PC 17569,146.5208,0,30,1.0,755,0,13
33,1.0,3,19.46,0,0,335677,7.75,0,31,1.0,287,1,9
34,0.0,2,66.0,0,0,C.A. 24579,10.5,1,32,0.0,838,2,12
35,0.0,1,28.0,1,0,PC 17604,82.1708,1,33,0.3333333333333333,520,0,12
36,0.0,1,42.0,1,0,113789,52.0,1,34,0.5,349,2,12
37,1.0,3,25.08,0,0,2677,7.2292,1,35,1.0,485,0,12
38,0.0,3,21.0,0,0,A./5. 2152,8.05,1,36,0.0,124,2,12
39,0.0,3,18.0,2,0,345764,18.0,0,18,0.0,817,2,9
40,1.0,3,14.0,1,0,2651,11.2417,0,37,1.0,569,0,9
41,0.0,3,40.0,1,0,7546,9.475,0,38,0.0,8,2,13
42,0.0,2,27.0,1,0,11668,21.0,0,39,0.0,809,2,13
43,0.0,3,31.81,0,0,349253,7.8958,1,40,0.0,415,0,12
44,1.0,2,3.0,1,2,SC/Paris 2123,41.5792,0,41,0.6666666666666666,428,0,9
45,1.0,3,19.0,0,0,330958,7.8792,0,42,1.0,205,1,9
46,0.0,3,35.6,0,0,S.C./A.4. 23567,8.05,1,43,0.0,677,2,12
47,0.0,3,34.545,1,0,370371,15.5,1,44,0.0,440,1,12
48,1.0,3,20.55,0,0,14311,7.75,0,45,1.0,586,1,9
49,0.0,3,23.13333333333333,2,0,2662,21.6792,1,46,0.0,706,0,12
50,0.0,3,18.0,1,0,349237,17.8,0,47,0.0,28,2,13
51,0.0,3,7.0,4,1,3101295,39.6875,1,48,0.0,609,2,8
52,0.0,3,21.0,0,0,A/4. 39886,7.8,1,49,0.0,576,2,12
53,1.0,1,49.0,1,0,PC 17572,76.7292,0,50,0.75,315,0,13
54,1.0,2,29.0,1,0,2926,26.0,0,51,1.0,246,2,13
55,0.0,1,65.0,0,1,113509,61.9792,1,52,0.0,601,0,12
56,1.0,1,47.945,0,0,19947,35.5,1,53,1.0,857,2,12
57,1.0,2,21.0,0,0,C.A. 31026,10.5,0,54,1.0,690,2,9
58,0.0,3,28.5,0,0,2697,7.2292,1,55,0.0,578,0,12
59,1.0,2,5.0,1,2,C.A. 34651,27.75,0,56,0.6666666666666666,836,2,9
60,0.0,3,11.0,5,2,CA 2144,46.9,1,57,0.0,292,2,8
61,0.0,3,22.0,0,0,2669,7.2292,1,58,0.0,733,0,12
62,1.0,1,38.0,0,0,113572,80.0,0,59,1.0,361,3,9
63,0.0,1,45.0,1,0,36973,83.475,1,60,0.5,317,2,12
64,0.0,3,4.0,3,2,347088,27.9,1,61,0.0,739,2,8
65,0.0,1,49.955,0,0,PC 17605,27.7208,1,62,0.0,765,0,12
66,1.0,3,3.731981666666667,1,1,2661,15.2458,1,63,1.0,543,0,8
67,1.0,2,29.0,0,0,C.A. 29395,10.5,0,64,1.0,579,2,13
68,0.0,3,19.0,0,0,S.P. 3464,8.1583,1,65,0.0,178,2,12
69,1.0,3,17.0,4,2,3101281,7.925,0,13,0.2222222222222222,21,2,9
70,0.0,3,26.0,2,0,315151,8.6625,1,66,0.0,409,2,12
71,0.0,2,32.0,0,0,C.A. 33111,10.5,1,67,0.0,374,2,12
72,0.0,3,16.0,5,2,CA 2144,46.9,0,57,0.0,292,2,9
73,0.0,2,21.0,0,0,S.O.C. 14879,73.5,1,68,0.0,352,2,12
74,0.0,3,26.0,1,0,2680,14.4542,1,69,0.0,149,0,12
75,1.0,3,32.0,0,0,1601,56.4958,1,70,1.0,76,2,12
76,0.0,3,25.0,0,0,348123,7.65,1,71,0.0,533,2,12
77,0.0,3,26.99,0,0,349208,7.8958,1,72,0.0,758,2,12
78,0.0,3,33.34,0,0,374746,8.05,1,73,0.0,545,2,12
79,1.0,2,0.83,0,2,248738,29.0,1,74,1.0,118,2,8
80,1.0,3,30.0,0,0,364516,12.475,0,75,1.0,217,2,9
81,0.0,3,22.0,0,0,345767,9.0,1,76,0.0,823,2,12
82,1.0,3,29.0,0,0,345779,9.5,1,77,1.0,720,2,12
83,1.0,3,20.225,0,0,330932,7.7875,0,78,1.0,505,1,9
84,0.0,1,28.0,0,0,113059,47.1,1,79,0.0,130,2,12
85,1.0,2,17.0,0,0,SO/C 14885,10.5,0,80,1.0,362,2,9
86,1.0,3,33.0,3,0,3101278,15.85,0,81,0.5,43,2,13
87,0.0,3,16.0,1,3,W./C. 6608,34.375,1,82,0.0,255,2,12
88,0.0,3,27.645,0,0,SOTON/OQ 392086,8.05,1,83,0.0,743,2,12
89,1.0,1,23.0,3,2,19950,263.0,0,26,0.5,257,2,9
90,0.0,3,24.0,0,0,343275,8.05,1,84,0.0,136,2,12
91,0.0,3,29.0,0,0,343276,8.05,1,85,0.0,147,2,12
92,0.0,3,20.0,0,0,347466,7.8542,1,86,0.0,22,2,12
93,0.0,1,46.0,1,0,W.E.P. 5734,61.175,1,87,0.0,137,2,12
94,0.0,3,26.0,1,2,C.A. 2315,20.575,1,88,0.5,199,2,12
95,0.0,3,59.0,0,0,364500,7.25,1,89,0.0,176,2,12
96,0.0,3,25.83,0,0,374910,8.05,1,90,0.0,724,2,12
97,0.0,1,71.0,0,0,PC 17754,34.6542,1,91,0.0,289,0,12
98,1.0,1,23.0,0,1,PC 17759,63.3583,1,92,1.0,297,0,12
99,1.0,2,34.0,0,1,231919,23.0,0,93,1.0,213,2,13
100,0.0,2,34.0,1,0,244367,26.0,1,94,0.5,391,2,12
101,0.0,3,28.0,0,0,349245,7.8958,0,95,0.0,637,2,9
102,0.0,3,22.11,0,0,349215,7.8958,1,96,0.0,638,2,12
