iter	Logloss
0	0.6928503803
1	0.6925172223
2	0.6922405999
3	0.6919644974
4	0.6916607939
5	0.6912987417
6	0.690952099
7	0.6906648038
8	0.6904023267
9	0.6901041646
10	0.6897914331
11	0.6895272218
12	0.6893042123
13	0.688899609
14	0.6886133582
15	0.6883348646
16	0.6880349203
17	0.6877141771
18	0.6874159649
19	0.6871135566
20	0.6868262881
21	0.686486717
22	0.6861550249
23	0.6858563677
24	0.6854412605
25	0.6851643393
26	0.6848735428
27	0.6845827176
28	0.6842828341
29	0.6840041238
30	0.6837069682
31	0.6834056175
32	0.6831303534
33	0.682856345
34	0.6825509881
35	0.6822374741
36	0.6819575997
37	0.6816862353
38	0.681342421
39	0.6810423328
40	0.6807727547
41	0.680422555
42	0.6801366415
43	0.679853416
44	0.6795986409
45	0.6793134712
46	0.678986552
47	0.6787237089
48	0.6784148227
49	0.6781127669
50	0.6778609156
51	0.6775484372
52	0.6772450086
53	0.6770013672
54	0.676751843
55	0.6764237643
56	0.6761194024
57	0.6758599467
58	0.6755523023
59	0.6752778568
60	0.675016307
61	0.6747506928
62	0.6744431523
63	0.6741460913
64	0.6738905669
65	0.6736249266
66	0.6733197301
67	0.6730313355
68	0.6727744483
69	0.6725458247
70	0.6722248134
71	0.6719175455
72	0.6716520014
73	0.6714211893
74	0.6711085293
75	0.6708263455
76	0.6705274652
77	0.6702248296
78	0.6699341042
79	0.6696681993
80	0.6693752373
81	0.6691166359
82	0.6687753016
83	0.6685484805
84	0.6682152921
85	0.6679102943
86	0.6675998653
87	0.6673433178
88	0.6670497306
89	0.6668013457
90	0.6664170647
91	0.6661432832
92	0.6658819881
93	0.6655778803
94	0.665352468
95	0.6650540169
96	0.6647913608
97	0.6645188116
98	0.6642357769
99	0.6639532245
100	0.663626648
101	0.663318748
102	0.6630720097
103	0.6627973283
104	0.6624199279
105	0.6621013107
106	0.6618890851
107	0.6616121852
108	0.6613676
109	0.6611072903
110	0.6608350891
111	0.6605596495
112	0.6602519329
113	0.6599889207
114	0.6597017899
115	0.6594560176
116	0.6590912392
117	0.6588380185
118	0.6585794546
119	0.6583510428
120	0.6580532674
121	0.6577616446
122	0.6574934165
123	0.6572556337
124	0.656947673
125	0.6566656164
126	0.6563755113
127	0.6560639536
128	0.6557759377
129	0.6554705378
130	0.6551814743
131	0.6548675537
132	0.6546044015
133	0.6543588887
134	0.6540656236
135	0.6537943287
136	0.6535733056
137	0.6533559236
138	0.6530511659
139	0.6527597873
140	0.6524519577
141	0.6521629637
142	0.6519086907
143	0.6516283251
144	0.6513880701
145	0.6511245453
146	0.6508538239
147	0.6506069032
148	0.650314465
149	0.6500504739
150	0.6497647965
151	0.6495382946
152	0.6492876694
153	0.6490694348
154	0.6488413412
155	0.6486067477
156	0.6482660944
157	0.6480276804
158	0.6477625657
159	0.6475361681
160	0.6472693615
161	0.6469734138
162	0.6467296679
163	0.6464900121
164	0.6462782841
165	0.6460257332
166	0.6457929037
167	0.6455128003
168	0.6453086683
169	0.6450105737
170	0.6447923629
171	0.6445171823
172	0.6442629721
173	0.6440023799
174	0.6436377934
175	0.6433358161
176	0.6430978213
177	0.6428750101
178	0.6426400436
179	0.6423771842
180	0.6421624962
181	0.6419108546
182	0.6417086616
183	0.6414845005
184	0.6412300167
185	0.6409647894
186	0.6407033341
187	0.6404413359
188	0.6401758964
189	0.6399182863
190	0.6397083286
191	0.6394867219
192	0.6392147789
193	0.6389994593
194	0.6387363761
195	0.6384644212
196	0.6382285865
197	0.6379726699
198	0.6377058825
199	0.6374572174
200	0.6372410576
201	0.6369882154
202	0.6367978095
203	0.6365945383
204	0.6363728272
205	0.6361948393
206	0.6359279609
207	0.6356818262
208	0.6354307467
209	0.6351882522
210	0.6349304891
211	0.6347215106
212	0.6343850379
213	0.6341036846
214	0.6338767719
215	0.6336780397
216	0.6333761135
217	0.6331317918
218	0.6328320872
219	0.6325650073
220	0.6323235712
221	0.6320442333
222	0.6317666561
223	0.6315423809
224	0.6313322369
225	0.6310739484
226	0.630807099
227	0.6305869382
228	0.6303784537
229	0.6300967524
230	0.6298948296
231	0.6296676567
232	0.6294311866
233	0.6292122962
234	0.6289854406
235	0.6287266765
236	0.6284742352
237	0.6282515944
238	0.6280139063
239	0.6278348062
240	0.6275887996
241	0.6273839429
242	0.6271642754
243	0.6269643573
244	0.6266998096
245	0.6264864269
246	0.6261982945
247	0.625990885
248	0.6258408952
249	0.6256308014
250	0.6253687391
251	0.6251239808
252	0.6248817866
253	0.6246343545
254	0.6243746034
255	0.6241606089
256	0.6238967207
257	0.6236528409
258	0.6234144634
259	0.6231845737
260	0.6229698897
261	0.6227536426
262	0.6224899217
263	0.6222713559
264	0.6220178211
265	0.6217902902
266	0.6215515596
267	0.6212755899
268	0.621050914
269	0.6208354678
270	0.6205219312
271	0.6202906004
272	0.6200586592
273	0.61989021
274	0.6196614161
275	0.619437875
276	0.6192357375
277	0.618952213
278	0.6187102261
279	0.6184498078
280	0.6182251754
281	0.6180004884
282	0.6177834985
283	0.6175349269
284	0.6172994235
285	0.6170751249
286	0.6168205659
287	0.6165502743
288	0.6163395138
289	0.6160968992
290	0.6158910233
291	0.6156625115
292	0.6154440452
293	0.6151996237
294	0.6149997603
295	0.6147531326
296	0.6145444689
297	0.6142683643
298	0.6140012829
299	0.613824773
300	0.6136477069
301	0.6134455234
302	0.613191806
303	0.6129887124
304	0.6127894513
305	0.6125581511
306	0.6122932967
307	0.6121391584
308	0.6119166549
309	0.6116216495
310	0.6114067748
311	0.6111959745
312	0.6109451891
313	0.6106728453
314	0.6104127588
315	0.6101723735
316	0.6099476428
317	0.6096876704
318	0.609464855
319	0.60926791
320	0.6090255487
321	0.6087832746
322	0.6085664925
323	0.6083110191
324	0.608079038
325	0.6078150842
326	0.6076115149
327	0.6074245806
328	0.6072109866
329	0.6070230881
330	0.6068081015
331	0.6065708134
332	0.606327237
333	0.6061139195
334	0.6058922947
335	0.6056957296
336	0.6054751313
337	0.6052220968
338	0.6050043241
339	0.6047900981
340	0.6045531957
341	0.6043549379
342	0.6041347733
343	0.6038904999
344	0.6036970331
345	0.6034449746
346	0.6032340547
347	0.6030486193
348	0.6028154007
349	0.6025985459
350	0.6023717194
351	0.6021581928
352	0.6019428926
353	0.6016825282
354	0.6014171875
355	0.6011611593
356	0.6008706467
357	0.600625451
358	0.6004044458
359	0.6001339355
360	0.5998978397
361	0.5996603144
362	0.5994794164
363	0.5992952046
364	0.5990449311
365	0.598794056
366	0.5985889156
367	0.5983678048
368	0.5981392653
369	0.5979281914
370	0.5977286362
371	0.5975696162
372	0.5973668374
373	0.5971746505
374	0.5969842658
375	0.5967903068
376	0.5966413181
377	0.5964052178
378	0.5962013323
379	0.5959800669
380	0.595784618
381	0.5955891285
382	0.5953892322
383	0.5952542505
384	0.5950537447
385	0.594809475
386	0.5946061813
387	0.5943777352
388	0.5941753365
389	0.5939811824
390	0.59378311
391	0.5935910151
392	0.5933926027
393	0.593154809
394	0.5929550844
395	0.592772785
396	0.5925501934
397	0.5923289117
398	0.592106766
399	0.5918864697
400	0.5917037204
401	0.5915414636
402	0.5913354048
403	0.5911744293
404	0.5909581625
405	0.590790792
406	0.5905826884
407	0.5903856548
408	0.5901691587
409	0.5900207617
410	0.5898390924
411	0.5896542095
412	0.5894795148
413	0.5892875393
414	0.5890790807
415	0.5888733679
416	0.5886734041
417	0.5884782175
418	0.5882456318
419	0.588101389
420	0.5879104338
421	0.5877324754
422	0.5875860791
423	0.5874000867
424	0.5871712701
425	0.5870188549
426	0.586781546
427	0.5866147355
428	0.5864384213
429	0.5862511348
430	0.586032576
431	0.5858358215
432	0.5856493437
433	0.585485135
434	0.5853013135
435	0.5850835477
436	0.5849052039
437	0.5847254838
438	0.5845605684
439	0.5843731771
440	0.5842188441
441	0.5840127434
442	0.5838214511
443	0.5836298839
444	0.5834303663
445	0.5832403891
446	0.5830319878
447	0.5828358753
448	0.5826631418
449	0.5824819776
450	0.582334514
451	0.5821666098
452	0.5820354959
453	0.5818223659
454	0.5816629856
455	0.5814280017
456	0.58121718
457	0.5810208799
458	0.5808172378
459	0.5806403236
460	0.5804610837
461	0.5802650072
462	0.5800965344
463	0.5799142142
464	0.579710642
465	0.5795320819
466	0.5793386294
467	0.5791686197
468	0.5789945952
469	0.5788638081
470	0.5785803032
471	0.5784028629
472	0.578214022
473	0.5780052506
474	0.5778392173
475	0.5776083899
476	0.5774018319
477	0.5772184377
478	0.5770554504
479	0.5768505921
480	0.5766604422
481	0.576458605
482	0.5762674708
483	0.5760852851
484	0.5758969957
485	0.5757060192
486	0.5754812291
487	0.5753283118
488	0.5751695997
489	0.5749457739
490	0.5747699154
491	0.5746512273
492	0.5744162434
493	0.5742534687
494	0.5740024739
495	0.5738271415
496	0.5735952712
497	0.5734431823
498	0.573220884
499	0.5730436389
500	0.5728328796
501	0.5726792679
502	0.5724945067
503	0.572278267
504	0.5720786678
505	0.5719047306
506	0.5717268996
507	0.5715514408
508	0.5713756171
509	0.5711833686
510	0.5709913841
511	0.570825501
512	0.5706855443
513	0.5704913758
514	0.5703066511
515	0.5701432369
516	0.5699919365
517	0.569789223
518	0.5696106259
519	0.5694496316
520	0.5692745134
521	0.5690782716
522	0.5688701259
523	0.5687075922
524	0.5685354473
525	0.568348515
526	0.5681904772
527	0.5679927342
528	0.5677854456
529	0.5675882943
530	0.5674190777
531	0.5672417931
532	0.5670955974
533	0.5669351621
534	0.5668361742
535	0.5666329972
536	0.5664517192
537	0.5662809134
538	0.5661005921
539	0.5658361971
540	0.5656364836
541	0.5654854618
542	0.5652880492
543	0.5651319961
544	0.5650050986
545	0.5648105327
546	0.5646186996
547	0.5644630033
548	0.5643096896
549	0.5641533799
550	0.5639481891
551	0.563734128
552	0.5635951493
553	0.5634063648
554	0.5632631252
555	0.5631141435
556	0.5629526358
557	0.5627507102
558	0.5625779346
559	0.5624309615
560	0.5622273258
561	0.5620149107
562	0.5618642303
563	0.5617039187
564	0.5615247889
565	0.5613557513
566	0.5611906912
567	0.5609913884
568	0.5608294881
569	0.5606545149
570	0.5604678857
571	0.5602507827
572	0.5600163764
573	0.5598468394
574	0.5596606369
575	0.5594983014
576	0.5593159341
577	0.5591561775
578	0.5590018036
579	0.5588257665
580	0.5586581579
581	0.5584990293
582	0.5583386785
583	0.5581982408
584	0.557991118
585	0.5578161777
586	0.5576320498
587	0.5574641785
588	0.5572604589
589	0.5571095959
590	0.5569473351
591	0.5567599795
592	0.5565374265
593	0.5563473404
594	0.5562117417
595	0.5560625683
596	0.5558471523
597	0.5556482458
598	0.5554627994
599	0.5552849172
600	0.5550846
601	0.5548679112
602	0.5547231144
603	0.554551007
604	0.5544093555
605	0.5542429927
606	0.5540850733
607	0.5538982297
608	0.5537500657
609	0.5535652496
610	0.5534482794
611	0.5533025364
612	0.5530750642
613	0.5529107457
614	0.5527467502
615	0.5526044749
616	0.5524294443
617	0.5522762292
618	0.5521159217
619	0.5519395361
620	0.5517755473
621	0.5516106677
622	0.5514233461
623	0.5512174956
624	0.551094578
625	0.5509114733
626	0.5508051888
627	0.550646209
628	0.5504873977
629	0.5503758989
630	0.5502073854
631	0.5500275586
632	0.5498975651
633	0.5497138268
634	0.549492321
635	0.5493081628
636	0.5491087059
637	0.5489518943
638	0.5488048969
639	0.5486525429
640	0.5484658837
641	0.5482884676
642	0.5481586412
643	0.547986635
644	0.5478399724
645	0.5476603717
646	0.5475066349
647	0.547329682
648	0.5471909806
649	0.5470139861
650	0.5468392881
651	0.5466591185
652	0.5464845333
653	0.5463467281
654	0.5461713352
655	0.5459876046
656	0.5458422055
657	0.545681392
658	0.5455392077
659	0.5453969624
660	0.5452253786
661	0.5450844695
662	0.5449673497
663	0.5447640235
664	0.5446175731
665	0.5444602575
666	0.5442908297
667	0.5441303453
668	0.5440243086
669	0.5438968044
670	0.543765017
671	0.5436029884
672	0.5434285656
673	0.5432661369
674	0.5431008886
675	0.5429111196
676	0.5427281955
677	0.5426040916
678	0.5424402462
679	0.5422964343
680	0.5421173917
681	0.5419327607
682	0.5417331245
683	0.5415693079
684	0.5414171654
685	0.5412547782
686	0.5410800939
687	0.5409891306
688	0.5407766676
689	0.5405956873
690	0.5404818995
691	0.540291298
692	0.5401472699
693	0.5400166377
694	0.5398856955
695	0.5397635944
696	0.5396114122
697	0.539497143
698	0.5393611888
699	0.5392250392
700	0.5390601526
701	0.5389031528
702	0.5387397317
703	0.5385730641
704	0.5384073006
705	0.5383014535
706	0.5381562967
707	0.5380107165
708	0.5378685962
709	0.5377471507
710	0.5376366931
711	0.5374935236
712	0.5373646707
713	0.5372197826
714	0.5370208156
715	0.5368806854
716	0.5367376807
717	0.53658632
718	0.5364205988
719	0.5362571559
720	0.5361078022
721	0.5359384826
722	0.5357318523
723	0.5356001071
724	0.5354692219
725	0.5353308422
726	0.5351780389
727	0.5349798967
728	0.5347771905
729	0.5346580415
730	0.5345139651
731	0.5343670735
732	0.5342752515
733	0.5341605595
734	0.5339899374
735	0.5338325097
736	0.5336612564
737	0.5334816972
738	0.533341783
739	0.5331533976
740	0.533052874
741	0.5329375339
742	0.532818418
743	0.5327005331
744	0.5325735299
745	0.5324407265
746	0.5322865155
747	0.5321944898
748	0.5320344555
749	0.5319131325
750	0.5317372842
751	0.5316273698
752	0.5315145634
753	0.531374549
754	0.5312106602
755	0.5310457987
756	0.5308956303
757	0.5307256042
758	0.5305838811
759	0.5304463388
760	0.5302853506
761	0.5301467492
762	0.5299968954
763	0.5298890879
764	0.5297465434
765	0.5296148539
766	0.5295158725
767	0.5293803643
768	0.529273606
769	0.5291188148
770	0.5289595856
771	0.5288553603
772	0.5287349276
773	0.5286134625
774	0.5284795
775	0.5283214497
776	0.5281249476
777	0.5280098271
778	0.5278985055
779	0.5278079596
780	0.5276556586
781	0.5275409315
782	0.5273878385
783	0.5272702664
784	0.5270702699
785	0.5269161865
786	0.5267226057
787	0.5265960848
788	0.526470431
789	0.5263179755
790	0.5261595655
791	0.525994956
792	0.5258962194
793	0.5257269674
794	0.5255897346
795	0.5254433682
796	0.525264861
797	0.525163538
798	0.5250236598
799	0.5248962368
800	0.5247947039
801	0.5246297157
802	0.5245163629
803	0.5243824154
804	0.5242579691
805	0.5241262282
806	0.5239875769
807	0.5238516906
808	0.5237327165
809	0.5235798291
810	0.523445978
811	0.523340923
