iter	Passed	Remaining
0	53	53036
1	133	66380
2	392	130386
3	519	129289
4	550	109559
5	611	101341
6	670	95097
7	735	91220
8	794	87488
9	852	84443
10	903	81213
11	980	80699
12	1025	77882
13	1090	76779
14	1152	75675
15	1218	74929
16	1320	76363
17	1384	75522
18	1442	74478
19	1503	73678
20	1564	72925
21	1620	72056
22	1689	71786
23	1751	71245
24	1809	70569
25	1867	69969
26	1931	69595
27	1990	69082
28	2050	68660
29	2112	68314
30	2175	67989
31	2236	67666
32	2297	67321
33	2356	66953
34	2417	66649
35	2478	66359
36	2532	65901
37	2602	65876
38	2730	67276
39	2818	67633
40	2880	67364
41	2939	67051
42	2999	66747
43	3057	66435
44	3117	66166
45	3177	65905
46	3249	65898
47	3315	65751
48	3384	65694
49	3445	65470
50	3511	65344
51	3561	64923
52	3622	64720
53	3681	64493
54	3740	64270
55	3800	64065
56	3860	63862
57	3921	63691
58	3991	63667
59	4065	63686
60	4135	63659
61	4201	63560
62	4261	63384
63	4325	63255
64	4392	63190
65	4456	63067
66	4527	63049
67	4576	62721
68	4641	62625
69	4707	62542
70	4769	62404
71	4835	62323
72	4903	62269
73	5012	62721
74	5091	62797
75	5171	62870
76	5234	62750
77	5295	62589
78	5355	62439
79	5415	62281
80	5475	62123
81	5536	61979
82	5595	61819
83	5665	61776
84	5724	61623
85	5784	61478
86	5843	61323
87	5904	61192
88	5975	61161
89	5995	60625
90	6057	60510
91	6119	60401
92	6179	60271
93	6239	60138
94	6298	60004
95	6358	59877
96	6420	59766
97	6482	59667
98	6544	59562
99	6602	59426
100	6668	59359
101	6728	59235
102	6751	58792
103	6812	58690
104	6870	58566
105	6932	58469
106	6992	58356
107	7053	58253
108	7115	58161
109	7176	58063
110	7279	58305
111	7361	58363
112	7456	58529
113	7590	58991
114	7705	59295
115	7822	59610
116	7881	59480
117	7953	59452
118	8021	59386
119	8091	59334
120	8158	59267
121	8225	59193
122	8291	59118
123	8350	58990
124	8409	58867
125	8482	58840
126	8544	58735
127	8574	58414
128	8634	58296
129	8693	58181
130	8753	58069
131	8812	57949
132	8874	57849
133	8934	57743
134	8995	57640
135	9055	57529
136	9118	57438
137	9192	57419
138	9286	57523
139	9336	57353
140	9358	57016
141	9424	56943
142	9485	56849
143	9626	57226
144	9692	57155
145	9777	57193
146	9807	56909
147	9843	56666
148	9903	56564
149	9963	56462
150	10029	56390
151	10090	56293
152	10153	56208
153	10215	56120
154	10275	56017
155	10352	56010
156	10372	55695
157	10426	55562
158	10485	55462
159	10546	55369
160	10605	55267
161	10625	54963
162	10683	54859
163	10742	54760
164	10780	54556
165	10839	54460
166	10899	54369
167	10960	54280
168	11020	54188
169	11093	54162
170	11153	54073
171	11212	53978
172	11272	53886
173	11332	53795
174	11391	53701
175	11449	53603
176	11510	53519
177	11569	53425
178	11628	53334
179	11687	53242
180	11744	53143
181	11809	53078
182	11864	52969
183	11954	53016
184	12046	53070
185	12107	52988
186	12167	52898
187	12226	52808
188	12283	52710
189	12345	52630
190	12408	52557
191	12466	52465
192	12526	52379
193	12585	52286
194	12654	52242
195	12719	52177
196	12768	52045
197	12826	51954
198	12885	51863
199	12946	51786
200	13004	51695
201	13063	51607
202	13121	51515
203	13179	51427
204	13201	51194
205	13259	51105
206	13316	51014
207	13374	50924
208	13433	50842
209	13494	50763
210	13552	50678
211	13612	50598
212	13677	50537
213	13735	50449
214	13756	50227
215	13816	50149
216	13876	50071
217	13936	49991
218	14003	49938
219	14063	49861
220	14141	49847
221	14247	49929
222	14327	49920
223	14391	49856
224	14460	49808
225	14521	49734
226	14581	49655
227	14647	49594
228	14687	49449
229	14745	49365
230	14804	49282
231	14862	49200
232	14921	49119
233	14980	49039
234	15039	48958
235	15098	48878
236	15138	48736
237	15197	48658
238	15256	48577
239	15314	48495
240	15380	48439
241	15439	48359
242	15500	48288
243	15560	48213
244	15621	48141
245	15653	47978
246	15714	47906
247	15779	47846
248	15846	47794
249	15905	47716
250	15926	47524
251	15975	47420
252	16035	47346
253	16096	47275
254	16155	47200
255	16205	47096
256	16266	47026
257	16326	46955
258	16385	46877
259	16514	47002
260	16546	46849
261	16642	46879
262	16703	46808
263	16770	46753
264	16830	46682
265	16897	46625
266	16957	46554
267	17018	46482
268	17080	46414
269	17139	46339
270	17198	46264
271	17257	46189
272	17316	46114
273	17382	46058
274	17441	45982
275	17502	45913
276	17572	45866
277	17649	45839
278	17711	45769
279	17775	45708
280	17835	45636
281	17895	45563
282	17955	45491
283	18017	45423
284	18079	45358
285	18141	45289
286	18218	45260
287	18279	45190
288	18338	45117
289	18389	45021
290	18451	44954
291	18510	44882
292	18582	44839
293	18643	44769
294	18702	44696
295	18826	44775
296	18890	44714
297	18979	44708
298	19040	44640
299	19110	44590
300	19171	44521
301	19232	44452
302	19292	44379
303	19357	44318
304	19418	44249
305	19494	44213
306	19569	44173
307	19630	44103
308	19689	44031
309	19750	43960
310	19810	43888
311	19867	43811
312	19929	43742
313	19990	43673
314	20049	43599
315	20109	43528
316	20168	43455
317	20229	43385
318	20290	43316
319	20351	43247
320	20414	43183
321	20475	43112
322	20533	43038
323	20593	42966
324	20653	42894
325	20711	42820
326	20769	42746
327	20829	42674
328	20886	42599
329	20946	42527
330	21018	42481
331	21142	42539
332	21209	42481
333	21307	42487
334	21366	42414
335	21432	42354
336	21492	42283
337	21551	42211
338	21609	42135
339	21669	42065
340	21730	41995
341	21790	41924
342	21850	41853
343	21911	41784
344	21970	41711
345	22030	41640
346	22089	41569
347	22148	41496
348	22208	41425
349	22268	41356
350	22347	41320
351	22410	41255
352	22471	41187
353	22530	41114
354	22589	41043
355	22650	40974
356	22709	40902
357	22777	40846
358	22836	40774
359	22896	40705
360	22957	40635
361	23024	40579
362	23090	40520
363	23149	40448
364	23215	40389
365	23277	40321
366	23353	40279
367	23462	40294
368	23556	40281
369	23619	40217
370	23678	40145
371	23738	40074
372	23796	40000
373	23854	39928
374	23913	39855
375	23976	39790
376	24043	39732
377	24109	39672
378	24173	39608
379	24243	39555
380	24340	39545
381	24403	39479
382	24466	39414
383	24528	39347
384	24589	39279
385	24649	39209
386	24709	39139
387	24769	39069
388	24828	38997
389	24891	38932
390	24951	38862
391	25010	38791
392	25068	38719
393	25128	38649
394	25189	38580
395	25250	38512
396	25310	38444
397	25371	38375
398	25431	38306
399	25491	38237
400	25550	38167
401	25612	38099
402	25749	38145
403	25818	38087
404	25906	38059
405	25967	37992
406	26027	37921
407	26087	37852
408	26153	37791
409	26211	37719
410	26271	37649
411	26332	37580
412	26393	37512
413	26455	37446
414	26516	37378
415	26580	37315
416	26640	37245
417	26709	37188
418	26771	37122
419	26835	37058
420	26896	36990
421	26957	36922
422	27020	36857
423	27081	36790
424	27146	36726
425	27217	36672
426	27285	36615
427	27356	36560
428	27427	36506
429	27494	36446
430	27564	36389
431	27625	36323
432	27685	36253
433	27760	36203
434	27819	36133
435	27881	36066
436	27943	35999
437	28072	36019
438	28144	35965
439	28237	35938
440	28303	35876
441	28368	35813
442	28436	35754
443	28503	35693
444	28567	35629
445	28629	35562
446	28689	35492
447	28748	35422
448	28808	35352
449	28865	35280
450	28926	35212
451	28986	35142
452	29045	35072
453	29113	35013
454	29173	34944
455	29234	34876
456	29296	34810
457	29359	34743
458	29433	34691
459	29494	34623
460	29554	34554
461	29612	34483
462	29671	34413
463	29728	34341
464	29787	34271
465	29844	34200
466	29902	34128
467	29962	34060
468	30020	33988
469	30079	33919
470	30144	33856
471	30205	33789
472	30265	33720
473	30375	33708
474	30453	33659
475	30537	33617
476	30611	33563
477	30670	33494
478	30728	33423
479	30787	33353
480	30847	33284
481	30907	33216
482	30966	33146
483	31023	33074
484	31083	33006
485	31143	32937
486	31234	32901
487	31294	32833
488	31355	32765
489	31415	32697
490	31473	32627
491	31535	32561
492	31593	32490
493	31653	32422
494	31715	32355
495	31774	32286
496	31840	32224
497	31899	32155
498	31959	32087
499	32022	32022
500	32086	31958
501	32161	31905
502	32225	31841
503	32290	31778
504	32354	31713
505	32418	31649
506	32482	31585
507	32547	31521
508	32633	31479
509	32732	31448
510	32841	31427
511	32907	31365
512	32967	31297
513	33029	31230
514	33092	31164
515	33156	31099
516	33217	31033
517	33279	30966
518	33340	30899
519	33401	30831
520	33468	30770
521	33531	30705
522	33593	30639
523	33655	30572
524	33718	30507
525	33777	30438
526	33839	30372
527	33905	30309
528	33969	30245
529	34034	30181
530	34094	30113
531	34160	30051
532	34224	29986
533	34284	29918
534	34348	29853
535	34408	29786
536	34468	29718
537	34528	29650
538	34588	29583
539	34647	29514
540	34711	29450
541	34772	29383
542	34834	29317
543	34941	29289
544	35047	29259
545	35141	29220
546	35215	29163
547	35279	29098
548	35339	29030
549	35399	28962
550	35459	28895
551	35528	28834
552	35590	28768
553	35651	28701
554	35711	28633
555	35773	28567
556	35836	28501
557	35894	28432
558	35955	28365
559	36014	28297
560	36077	28231
561	36137	28163
562	36196	28096
563	36257	28028
564	36316	27960
565	36375	27891
566	36447	27833
567	36506	27765
568	36564	27696
569	36630	27633
570	36690	27566
571	36751	27499
572	36811	27432
573	36870	27363
574	36932	27297
575	37002	27237
576	37063	27171
577	37126	27106
578	37194	27044
579	37309	27017
580	37378	26956
581	37465	26908
582	37526	26841
583	37586	26773
584	37647	26707
585	37709	26640
586	37800	26595
587	37862	26529
588	37922	26461
589	37984	26395
590	38048	26331
591	38108	26264
592	38169	26197
593	38229	26129
594	38289	26062
595	38349	25995
596	38410	25929
597	38472	25862
598	38530	25794
599	38591	25727
600	38650	25660
601	38710	25592
602	38769	25524
603	38829	25457
604	38890	25391
605	38949	25323
606	39008	25255
607	39066	25187
608	39125	25120
609	39185	25053
610	39247	24987
611	39315	24925
612	39375	24858
613	39436	24792
614	39496	24725
615	39614	24695
616	39694	24640
617	39782	24590
618	39842	24523
619	39900	24455
620	39960	24388
621	40019	24320
622	40079	24253
623	40139	24186
624	40204	24122
625	40266	24056
626	40325	23989
627	40385	23922
628	40445	23855
629	40506	23789
630	40565	23722
631	40625	23655
632	40685	23588
633	40747	23522
634	40809	23457
635	40870	23391
636	40930	23324
637	40992	23258
638	41067	23200
639	41126	23133
640	41185	23066
641	41244	22999
642	41303	22932
643	41362	22864
644	41421	22798
645	41482	22731
646	41543	22665
647	41602	22598
648	41662	22532
649	41722	22465
650	41781	22398
651	41888	22357
652	41972	22303
653	42072	22258
654	42132	22192
655	42192	22125
656	42251	22058
657	42310	21991
658	42371	21925
659	42429	21857
660	42490	21791
661	42551	21725
662	42609	21658
663	42668	21591
664	42729	21525
665	42802	21465
666	42861	21398
667	42921	21332
668	42979	21264
669	43038	21197
670	43096	21130
671	43156	21064
672	43217	20998
673	43274	20931
674	43332	20863
675	43389	20796
676	43450	20730
677	43511	20664
678	43573	20599
679	43633	20533
680	43694	20467
681	43754	20401
682	43813	20335
683	43873	20268
684	43931	20201
685	43992	20136
686	44054	20071
687	44119	20007
688	44240	19969
689	44315	19909
690	44399	19854
691	44460	19788
692	44518	19721
693	44578	19655
694	44638	19589
695	44698	19523
696	44757	19457
697	44819	19391
698	44878	19325
699	44938	19259
700	44997	19192
701	45057	19126
702	45117	19060
703	45178	18995
704	45241	18930
705	45300	18864
706	45361	18799
707	45423	18733
708	45483	18667
709	45556	18607
710	45617	18541
711	45677	18476
712	45736	18410
713	45795	18343
714	45855	18278
715	45913	18211
716	45972	18145
717	46032	18079
718	46095	18014
719	46153	17948
720	46212	17882
721	46272	17816
722	46319	17746
723	46382	17681
724	46451	17619
725	46568	17575
726	46660	17521
727	46723	17457
728	46780	17390
729	46840	17324
730	46902	17259
731	46964	17194
732	47024	17129
733	47085	17063
734	47147	16998
735	47208	16933
736	47268	16867
737	47327	16802
738	47387	16736
739	47460	16675
740	47522	16610
741	47583	16545
742	47642	16479
743	47712	16417
744	47772	16351
745	47831	16285
746	47894	16221
747	47955	16155
748	48015	16090
749	48076	16025
750	48138	15960
751	48202	15896
752	48267	15832
753	48327	15767
754	48388	15702
755	48449	15637
756	48508	15571
757	48569	15506
758	48631	15441
759	48695	15377
760	48795	15324
761	48882	15267
762	48976	15212
763	49037	15147
764	49098	15082
765	49161	15017
766	49221	14952
767	49282	14887
768	49343	14822
769	49403	14756
770	49467	14692
771	49527	14627
772	49587	14562
773	49653	14498
774	49717	14434
775	49783	14370
776	49852	14307
777	49919	14244
778	50013	14188
779	50103	14131
780	50176	14070
781	50241	14005
782	50306	13941
783	50380	13880
784	50448	13817
785	50507	13751
786	50568	13686
787	50628	13620
788	50686	13554
789	50751	13490
790	50810	13425
791	50874	13360
792	50933	13295
793	50993	13229
794	51067	13168
795	51179	13116
796	51271	13059
797	51332	12993
798	51389	12927
799	51451	12862
800	51509	12797
801	51567	12731
802	51627	12665
803	51686	12600
804	51746	12534
805	51805	12469
806	51864	12403
807	51925	12338
808	51985	12273
809	52047	12208
810	52108	12143
811	52170	12078
812	52235	12014
813	52298	11950
814	52360	11885
815	52421	11820
816	52484	11756
817	52545	11690
818	52606	11626
819	52666	11560
820	52732	11497
821	52795	11432
822	52857	11367
823	52919	11303
824	52980	11238
825	53046	11174
826	53105	11109
827	53165	11044
828	53226	10979
829	53287	10914
830	53349	10849
831	53484	10799
832	53576	10741
833	53641	10676
834	53702	10611
835	53759	10546
836	53821	10481
837	53891	10418
838	53956	10353
839	54017	10289
840	54079	10224
841	54141	10159
842	54200	10094
843	54260	10029
844	54321	9964
845	54383	9899
846	54446	9835
847	54506	9770
848	54566	9704
849	54627	9640
850	54686	9575
851	54745	9509
852	54805	9444
853	54864	9379
854	54925	9314
855	54985	9249
856	55045	9184
857	55103	9119
858	55165	9055
859	55224	8990
860	55284	8925
861	55344	8860
862	55405	8795
863	55467	8731
864	55530	8666
865	55593	8602
866	55707	8545
867	55790	8484
868	55898	8426
869	55959	8361
870	56023	8297
871	56083	8232
872	56142	8167
873	56202	8102
874	56260	8037
875	56317	7971
876	56383	7907
877	56449	7843
878	56513	7779
879	56573	7714
880	56632	7649
881	56691	7584
882	56751	7519
883	56809	7454
884	56869	7389
885	56927	7324
886	56987	7259
887	57044	7194
888	57102	7129
889	57161	7064
890	57219	6999
891	57279	6935
892	57338	6870
893	57397	6805
894	57459	6741
895	57517	6676
896	57574	6611
897	57633	6546
898	57691	6481
899	57750	6416
900	57808	6351
901	57868	6287
902	57938	6223
903	58056	6165
904	58146	6103
905	58207	6039
906	58266	5974
907	58326	5909
908	58388	5845
909	58451	5780
910	58518	5716
911	58577	5652
912	58636	5587
913	58702	5523
914	58762	5458
915	58822	5394
916	58883	5329
917	58947	5265
918	59011	5201
919	59070	5136
920	59130	5072
921	59195	5007
922	59263	4943
923	59329	4879
924	59396	4815
925	59462	4751
926	59523	4687
927	59591	4623
928	59660	4559
929	59722	4495
930	59784	4430
931	59844	4366
932	59917	4302
933	59977	4238
934	60037	4173
935	60097	4109
936	60156	4044
937	60216	3980
938	60351	3920
939	60413	3856
940	60495	3793
941	60554	3728
942	60613	3663
943	60678	3599
944	60735	3534
945	60793	3470
946	60851	3405
947	60913	3341
948	60974	3276
949	61035	3212
950	61106	3148
951	61167	3084
952	61230	3019
953	61291	2955
954	61350	2890
955	61410	2826
956	61470	2762
957	61531	2697
958	61592	2633
959	61655	2568
960	61718	2504
961	61780	2440
962	61839	2375
963	61900	2311
964	61962	2247
965	62026	2183
966	62089	2118
967	62149	2054
968	62208	1990
969	62270	1925
970	62358	1862
971	62427	1798
972	62506	1734
973	62638	1672
974	62713	1608
975	62791	1544
976	62881	1480
977	62940	1415
978	63000	1351
979	63061	1286
980	63128	1222
981	63191	1158
982	63251	1093
983	63312	1029
984	63372	965
985	63433	900
986	63494	836
987	63555	771
988	63617	707
989	63689	643
990	63761	579
991	63833	514
992	63901	450
993	63969	386
994	64033	321
995	64091	257
996	64149	193
997	64209	128
998	64275	64
999	64334	0
