iter	Accuracy	Logloss
0	0.8144458281	0.6752064444
1	0.8132004981	0.6580396051
2	0.8231631382	0.6404118799
3	0.8244084682	0.6263806157
4	0.8306351183	0.6127306732
5	0.8268991283	0.5977873437
6	0.8293897883	0.5855373612
7	0.8293897883	0.5735773561
8	0.8281444583	0.5632617856
9	0.8318804483	0.5529702364
10	0.8368617684	0.5416294462
11	0.8356164384	0.5332190481
12	0.8356164384	0.5239291376
13	0.8368617684	0.5161274997
14	0.8368617684	0.5095655032
15	0.8381070984	0.5027744262
16	0.8381070984	0.4990942873
17	0.8418430884	0.4916819301
18	0.8393524284	0.4862189991
19	0.8405977584	0.4798071354
20	0.8381070984	0.4760195693
21	0.8368617684	0.4709753549
22	0.8356164384	0.4663725273
23	0.8331257783	0.4633193453
24	0.8331257783	0.4613103456
25	0.8343711083	0.4573993107
26	0.8318804483	0.455634535
27	0.8331257783	0.4521547076
28	0.8331257783	0.4484998413
29	0.8343711083	0.4470506462
30	0.8381070984	0.4434394423
31	0.8356164384	0.4406052694
32	0.8368617684	0.4376447191
33	0.8331257783	0.4364281787
34	0.8331257783	0.43524296
35	0.8381070984	0.4323826955
36	0.8356164384	0.4292318117
37	0.8381070984	0.427064939
38	0.8368617684	0.4247146839
39	0.8381070984	0.4229043917
40	0.8393524284	0.4206783762
41	0.8381070984	0.4181510018
42	0.8381070984	0.4163126493
43	0.8381070984	0.4151157027
44	0.8368617684	0.4126292916
45	0.8430884184	0.4101178656
46	0.8430884184	0.4078176582
47	0.8443337484	0.4050916328
48	0.8468244085	0.4025049047
49	0.8468244085	0.4000970405
50	0.8493150685	0.3986650178
51	0.8518057285	0.3964049015
52	0.8505603985	0.3950131001
53	0.8518057285	0.3935579387
54	0.8530510585	0.3919244723
55	0.8518057285	0.3902251438
56	0.8530510585	0.3886683195
57	0.8530510585	0.3875707942
58	0.8518057285	0.3863109064
59	0.8518057285	0.3847241512
60	0.8518057285	0.3835044679
61	0.8518057285	0.3824071774
62	0.8530510585	0.3816444652
63	0.8530510585	0.3806632611
64	0.8530510585	0.3789900332
65	0.8530510585	0.3772870004
66	0.8542963885	0.3757953393
67	0.8542963885	0.3751500779
68	0.8555417186	0.3736660415
69	0.8555417186	0.3727505491
70	0.8555417186	0.3719531695
71	0.8555417186	0.3704949382
72	0.8567870486	0.3692745823
73	0.8592777086	0.3682097473
74	0.8592777086	0.367121083
75	0.8592777086	0.3666117363
76	0.8580323786	0.3658804914
77	0.8580323786	0.3646802549
78	0.8605230386	0.3634561281
79	0.8605230386	0.3623854604
80	0.8617683686	0.3614169467
81	0.8617683686	0.3603080814
82	0.8617683686	0.3599764732
83	0.8617683686	0.3591452477
84	0.8617683686	0.3586057007
85	0.8617683686	0.3574672066
86	0.8617683686	0.3568582423
87	0.8617683686	0.3562990153
88	0.8617683686	0.3561612036
89	0.8605230386	0.3551262841
90	0.8605230386	0.3548942746
91	0.8605230386	0.3537925533
92	0.8605230386	0.3532899259
93	0.8605230386	0.3526137909
94	0.8617683686	0.3513766872
95	0.8617683686	0.3512074246
96	0.8617683686	0.3506811324
97	0.8630136986	0.3500953313
98	0.8630136986	0.3494350803
99	0.8630136986	0.3486559463
100	0.8630136986	0.3483442397
101	0.8642590286	0.3476088578
102	0.8630136986	0.3470108909
103	0.8617683686	0.3463196897
104	0.8617683686	0.3458813845
105	0.8617683686	0.3454272685
106	0.8617683686	0.3441612628
107	0.8630136986	0.3428010632
108	0.8642590286	0.3424945022
109	0.8642590286	0.3423579157
110	0.8642590286	0.3421556913
111	0.8642590286	0.3412244725
112	0.8667496887	0.340796208
113	0.8655043587	0.3399964811
114	0.8655043587	0.3396217821
115	0.8655043587	0.3392494334
116	0.8667496887	0.3384693757
117	0.8667496887	0.3383332443
118	0.8667496887	0.3377923866
119	0.8692403487	0.3372549672
120	0.8704856787	0.336694567
121	0.8692403487	0.3359443678
122	0.8692403487	0.3359440841
123	0.8704856787	0.3351429911
124	0.8704856787	0.3349945498
125	0.8704856787	0.3349784393
126	0.8704856787	0.3349058375
127	0.8717310087	0.3342507125
128	0.8717310087	0.3339016745
129	0.8717310087	0.3338304826
130	0.8729763387	0.3333503506
131	0.8729763387	0.3330192765
132	0.8729763387	0.332641428
133	0.8729763387	0.3322650093
134	0.8729763387	0.332155647
135	0.8717310087	0.3318801991
136	0.8729763387	0.3313288463
137	0.8717310087	0.3307738956
138	0.8717310087	0.3305160081
139	0.8729763387	0.3299430358
140	0.8729763387	0.3294931153
141	0.8729763387	0.3294207103
142	0.8729763387	0.3289900939
143	0.8729763387	0.3285354363
144	0.8729763387	0.3278062217
145	0.8742216687	0.327216026
146	0.8729763387	0.3267264636
147	0.8729763387	0.3263106517
148	0.8729763387	0.3258632851
149	0.8729763387	0.3258457494
150	0.8742216687	0.3253406615
151	0.8754669988	0.3248410159
152	0.8754669988	0.3246226628
153	0.8754669988	0.324025566
154	0.8754669988	0.323229524
155	0.8754669988	0.3231273987
156	0.8767123288	0.3226972358
157	0.8767123288	0.3225019343
158	0.8767123288	0.3220279632
159	0.8779576588	0.3217218854
160	0.8779576588	0.3210494509
161	0.8779576588	0.3206755594
162	0.8779576588	0.3203604417
163	0.8779576588	0.3203084091
164	0.8779576588	0.3201208256
165	0.8779576588	0.3194220738
166	0.8779576588	0.3186948568
167	0.8779576588	0.3186948445
168	0.8779576588	0.3186687005
169	0.8779576588	0.3183376736
170	0.8779576588	0.3182979047
171	0.8779576588	0.3181835104
172	0.8779576588	0.3180074043
173	0.8779576588	0.3175351677
174	0.8779576588	0.317285123
175	0.8792029888	0.3168425754
176	0.8792029888	0.3167676932
177	0.8792029888	0.3161603725
178	0.8792029888	0.3158482473
179	0.8792029888	0.3155294365
180	0.8792029888	0.3153091579
181	0.8792029888	0.315100234
182	0.8792029888	0.3147901251
183	0.8792029888	0.3146981523
184	0.8792029888	0.3140139492
185	0.8792029888	0.3134778499
186	0.8792029888	0.3134672998
187	0.8792029888	0.313227321
188	0.8804483188	0.3127270545
189	0.8804483188	0.3127149108
190	0.8804483188	0.3125164079
191	0.8804483188	0.3120583427
192	0.8804483188	0.3116863383
193	0.8792029888	0.311496894
194	0.8792029888	0.3111951552
195	0.8792029888	0.31118872
196	0.8804483188	0.3109849929
197	0.8804483188	0.3109113536
198	0.8804483188	0.3104612984
199	0.8792029888	0.3101454862
200	0.8792029888	0.3099269152
201	0.8792029888	0.3095603611
202	0.8792029888	0.309069696
203	0.8804483188	0.3086106858
204	0.8816936488	0.3081011096
205	0.8816936488	0.3075314545
206	0.8829389788	0.3073905467
207	0.8829389788	0.3073181123
208	0.8841843088	0.3072708673
209	0.8841843088	0.3071005902
210	0.8841843088	0.3065991011
211	0.8841843088	0.3064567249
212	0.8854296389	0.3062499685
213	0.8854296389	0.3061792461
214	0.8866749689	0.3055550003
215	0.8854296389	0.3052272578
216	0.8854296389	0.3050643405
217	0.8854296389	0.3047563435
218	0.8866749689	0.3042404522
219	0.8866749689	0.3033463638
220	0.8866749689	0.3032794981
221	0.8866749689	0.3031442031
222	0.8891656289	0.3025442804
223	0.8891656289	0.302162375
224	0.8891656289	0.3018370219
225	0.8879202989	0.3015832926
226	0.8879202989	0.3011121283
227	0.8879202989	0.3010793066
228	0.8879202989	0.3008046191
229	0.8879202989	0.300737007
230	0.8879202989	0.300609054
231	0.8879202989	0.3004978536
232	0.8879202989	0.3000092475
233	0.8891656289	0.2996093976
234	0.8879202989	0.2988708092
235	0.8891656289	0.2980292982
236	0.8891656289	0.2976573422
237	0.8879202989	0.2973531482
238	0.8891656289	0.2971005918
239	0.8891656289	0.2967416433
240	0.8904109589	0.2965073198
241	0.8916562889	0.2960780777
242	0.8916562889	0.2954231382
243	0.8916562889	0.2950803367
244	0.8916562889	0.2949337419
245	0.8916562889	0.2948096736
246	0.8916562889	0.2947084884
247	0.8916562889	0.2946132386
248	0.8929016189	0.2938779143
249	0.8941469489	0.2934859621
250	0.8929016189	0.2931948027
251	0.8929016189	0.2931675475
252	0.8929016189	0.2928304397
253	0.8929016189	0.2927524802
254	0.8941469489	0.2923366022
255	0.8941469489	0.2921309238
256	0.8941469489	0.2920562439
257	0.8941469489	0.2918027382
258	0.897882939	0.2911651179
259	0.897882939	0.2909230214
260	0.897882939	0.290587856
261	0.899128269	0.2903027035
262	0.897882939	0.2899278434
263	0.897882939	0.2895595901
264	0.897882939	0.2892873655
265	0.897882939	0.2892012943
266	0.897882939	0.2890926664
267	0.899128269	0.2886087175
268	0.899128269	0.2884421893
269	0.899128269	0.2883743025
270	0.899128269	0.2882250401
271	0.899128269	0.2880727916
272	0.901618929	0.2875797247
273	0.901618929	0.287042357
274	0.901618929	0.2869429386
275	0.901618929	0.2867191168
276	0.901618929	0.2865461193
277	0.902864259	0.2863959595
278	0.902864259	0.2863391531
279	0.902864259	0.2861613682
280	0.902864259	0.2858171945
281	0.902864259	0.2855448328
282	0.902864259	0.2854900173
283	0.902864259	0.2852269949
284	0.904109589	0.2848753154
285	0.904109589	0.2847542342
286	0.902864259	0.2845601678
287	0.902864259	0.2844388888
288	0.902864259	0.2838061389
289	0.902864259	0.2832378791
290	0.902864259	0.2830673674
291	0.902864259	0.2829759634
292	0.904109589	0.282719179
293	0.904109589	0.282538848
294	0.904109589	0.2818670133
295	0.904109589	0.2816779781
296	0.904109589	0.2815098325
297	0.904109589	0.2813719948
298	0.904109589	0.2811876991
299	0.904109589	0.2807627308
300	0.902864259	0.2800802611
301	0.902864259	0.2796960564
302	0.902864259	0.2795437255
303	0.901618929	0.2791915021
304	0.901618929	0.2791006456
305	0.902864259	0.2789350792
306	0.904109589	0.2787867148
307	0.904109589	0.2787054121
308	0.904109589	0.2786321769
309	0.9053549191	0.2780367138
310	0.9053549191	0.277748296
311	0.904109589	0.2773908678
312	0.904109589	0.2773492381
313	0.9053549191	0.2768060377
314	0.9053549191	0.2766559835
315	0.9053549191	0.2765294673
316	0.9053549191	0.2764749423
317	0.9066002491	0.2762564297
318	0.9066002491	0.2759375129
319	0.9066002491	0.2757581028
320	0.9066002491	0.2755314886
321	0.9078455791	0.2754568081
322	0.9078455791	0.2754101247
323	0.9066002491	0.2753598716
324	0.9066002491	0.2751640141
325	0.9078455791	0.2748886088
326	0.9078455791	0.2747379335
