iter	Accuracy	Logloss
0	0.7867564534	0.6892012842
1	0.7867564534	0.6845277943
2	0.785634119	0.6796045204
3	0.7867564534	0.6755152621
4	0.7912457912	0.671313325
5	0.7912457912	0.6673032531
6	0.7901234568	0.662916155
7	0.7912457912	0.659064554
8	0.7912457912	0.6545085083
9	0.7912457912	0.6500964192
10	0.7923681257	0.6459275288
11	0.7901234568	0.6416249238
12	0.7901234568	0.6376379618
13	0.7890011223	0.6336251885
14	0.7878787879	0.6300538559
15	0.7901234568	0.6261621001
16	0.7901234568	0.6224213445
17	0.7901234568	0.6190770885
18	0.7901234568	0.6155018876
19	0.7901234568	0.6129785414
20	0.7901234568	0.6094604343
21	0.7901234568	0.6059584493
22	0.7901234568	0.6030346534
23	0.7912457912	0.5997556447
24	0.7912457912	0.5964664491
25	0.7912457912	0.593371987
26	0.7912457912	0.5911509314
27	0.7912457912	0.5882147523
28	0.7912457912	0.5852329493
29	0.7912457912	0.5828768668
30	0.7912457912	0.5800504742
31	0.7912457912	0.5772771091
32	0.7901234568	0.5744748192
33	0.7901234568	0.5718344862
34	0.7901234568	0.5693621492
35	0.7901234568	0.5665658122
36	0.7901234568	0.564135304
37	0.7901234568	0.5620804204
38	0.7901234568	0.5598069397
39	0.7901234568	0.5572274096
40	0.7901234568	0.5549816316
41	0.7901234568	0.5528083635
42	0.7901234568	0.5509920191
43	0.7901234568	0.548852576
44	0.7901234568	0.5466100276
45	0.7901234568	0.5442605941
46	0.7901234568	0.5420121986
47	0.7901234568	0.5406034598
48	0.7901234568	0.5388300737
49	0.7901234568	0.5373725042
50	0.7901234568	0.535506802
51	0.7901234568	0.5336282922
52	0.7901234568	0.5317856641
53	0.7901234568	0.5305433235
54	0.7901234568	0.5290246223
55	0.7901234568	0.5272494207
56	0.7901234568	0.525781247
57	0.7901234568	0.5244006181
58	0.7901234568	0.5229265246
59	0.7901234568	0.5216458749
60	0.7901234568	0.5205910451
61	0.7901234568	0.5190022163
62	0.7901234568	0.5172615838
63	0.7901234568	0.5158934388
64	0.7901234568	0.5148363101
65	0.7901234568	0.5138082141
66	0.7901234568	0.5125857954
67	0.7912457912	0.51139038
68	0.7901234568	0.5101509785
69	0.7912457912	0.5088062349
70	0.7912457912	0.507727694
71	0.7912457912	0.5068778559
72	0.7912457912	0.5055233655
73	0.7912457912	0.5040361102
74	0.7901234568	0.5028149574
75	0.7901234568	0.501498
76	0.7912457912	0.5002597536
77	0.7912457912	0.4994668201
78	0.7901234568	0.4983622672
79	0.7901234568	0.4976431219
80	0.7901234568	0.4967055943
81	0.7912457912	0.4955118608
82	0.7912457912	0.4942562353
83	0.7912457912	0.4930444006
84	0.7923681257	0.4921538614
85	0.7912457912	0.4910753431
86	0.7912457912	0.4900541436
87	0.7912457912	0.4892025143
88	0.7912457912	0.4884173504
89	0.7912457912	0.4876061902
90	0.7923681257	0.486572325
91	0.7923681257	0.4856052321
92	0.7923681257	0.4850127202
93	0.7923681257	0.4842165108
94	0.7923681257	0.4834670684
95	0.7923681257	0.4827952619
96	0.7923681257	0.4823355355
