iter	Passed	Remaining
0	11	11537
1	32	16057
2	53	17722
3	74	18562
4	95	18990
5	115	19174
6	137	19514
7	157	19590
8	178	19643
9	200	19862
10	223	20087
11	244	20134
12	265	20185
13	286	20205
14	308	20230
15	328	20224
16	349	20194
17	370	20228
18	391	20213
19	412	20207
20	433	20196
21	455	20230
22	475	20214
23	497	20240
24	518	20238
25	539	20210
26	561	20225
27	582	20210
28	602	20179
29	624	20177
30	645	20182
31	666	20172
32	688	20160
33	710	20186
34	731	20155
35	751	20135
36	773	20141
37	794	20119
38	815	20089
39	837	20091
40	858	20091
41	879	20071
42	901	20052
43	921	20026
44	942	20006
45	963	19988
46	985	19977
47	1015	20134
48	1070	20785
49	1121	21302
50	1144	21287
51	1167	21280
52	1198	21414
53	1246	21843
54	1299	22324
55	1334	22503
56	1359	22487
57	1383	22473
58	1405	22422
59	1427	22360
60	1448	22300
61	1470	22239
62	1492	22200
63	1513	22137
64	1534	22073
65	1555	22009
66	1576	21950
67	1596	21887
68	1617	21827
69	1638	21772
70	1662	21753
71	1683	21696
72	1704	21640
73	1725	21597
74	1747	21551
75	1768	21495
76	1788	21440
77	1809	21386
78	1829	21334
79	1850	21284
80	1871	21236
81	1893	21199
82	1914	21150
83	1935	21104
84	1956	21055
85	1976	21004
86	1998	20969
87	2020	20935
88	2041	20901
89	2063	20863
90	2084	20819
91	2105	20776
92	2125	20730
93	2146	20687
94	2166	20643
95	2187	20599
96	2209	20571
97	2230	20528
98	2251	20489
99	2272	20448
100	2292	20406
101	2313	20364
102	2334	20326
103	2354	20286
104	2375	20250
105	2396	20214
106	2424	20234
107	2445	20200
108	2468	20175
109	2488	20136
110	2509	20095
111	2529	20055
112	2550	20023
113	2573	19999
114	2593	19962
115	2614	19925
116	2635	19889
117	2663	19905
118	2685	19879
119	2707	19853
120	2727	19817
121	2748	19779
122	2768	19742
123	2789	19706
124	2810	19672
125	2831	19637
126	2851	19601
127	2872	19568
128	2893	19536
129	2914	19502
130	2934	19467
131	2955	19432
132	2977	19407
133	2997	19373
134	3018	19339
135	3038	19303
136	3059	19271
137	3080	19239
138	3101	19208
139	3121	19177
140	3142	19143
141	3162	19110
142	3183	19077
143	3207	19068
144	3229	19042
145	3249	19009
146	3270	18978
147	3291	18949
148	3312	18918
149	3333	18888
150	3356	18873
151	3406	19002
152	3462	19168
153	3484	19142
154	3506	19117
155	3530	19098
156	3600	19329
157	3626	19324
158	3650	19309
159	3671	19276
160	3692	19242
161	3713	19211
162	3734	19177
163	3755	19146
164	3779	19124
165	3799	19089
166	3820	19058
167	3842	19031
168	3875	19056
169	3897	19027
170	3918	18998
171	3940	18971
172	3978	19018
173	3999	18984
174	4019	18951
175	4041	18919
176	4062	18887
177	4083	18856
178	4104	18826
179	4125	18796
180	4146	18764
181	4167	18732
182	4188	18698
183	4210	18672
184	4231	18639
185	4252	18608
186	4273	18578
187	4293	18544
188	4314	18513
189	4335	18481
190	4356	18451
191	4376	18419
192	4397	18386
193	4418	18356
194	4439	18326
195	4460	18296
196	4481	18266
197	4501	18235
198	4522	18204
199	4543	18173
200	4565	18147
201	4586	18117
202	4607	18089
203	4628	18060
204	4650	18034
205	4671	18005
206	4692	17976
207	4713	17948
208	4735	17920
209	4755	17891
210	4776	17861
211	4797	17831
212	4817	17801
213	4838	17771
214	4859	17743
215	4881	17717
216	4902	17689
217	4924	17664
218	4945	17635
219	4966	17607
220	4987	17580
221	5008	17551
222	5028	17522
223	5049	17493
224	5070	17463
225	5091	17436
226	5112	17409
227	5133	17381
228	5154	17354
229	5175	17325
230	5196	17299
231	5217	17270
232	5238	17242
233	5259	17215
234	5280	17188
235	5301	17161
236	5322	17134
237	5343	17107
238	5365	17083
239	5385	17055
240	5406	17028
241	5428	17004
242	5450	16978
243	5470	16950
244	5491	16923
245	5513	16898
246	5535	16874
247	5555	16847
248	5576	16818
249	5597	16792
250	5619	16767
251	5641	16744
252	5670	16741
253	5699	16740
254	5743	16781
255	5793	16838
256	5814	16811
257	5839	16793
258	5888	16848
259	5912	16827
260	5933	16801
261	5955	16775
262	5976	16747
263	5996	16718
264	6017	16690
265	6038	16662
266	6059	16635
267	6080	16607
268	6101	16579
269	6121	16551
270	6142	16522
271	6162	16494
272	6183	16466
273	6205	16442
274	6226	16415
275	6247	16388
276	6268	16362
277	6290	16336
278	6311	16310
279	6332	16284
280	6354	16260
281	6375	16231
282	6397	16207
283	6418	16182
284	6439	16155
285	6460	16127
286	6487	16116
287	6507	16088
288	6529	16065
289	6552	16043
290	6573	16017
291	6594	15989
292	6615	15962
293	6636	15937
294	6662	15922
295	6684	15897
296	6704	15869
297	6725	15842
298	6745	15815
299	6766	15788
300	6793	15775
301	6813	15748
302	6835	15724
303	6855	15696
304	6876	15670
305	6897	15642
306	6918	15616
307	6939	15591
308	6960	15564
309	6982	15541
310	7003	15515
311	7024	15490
312	7046	15465
313	7067	15440
314	7088	15415
315	7110	15391
316	7132	15366
317	7153	15340
318	7173	15314
319	7194	15288
320	7215	15261
321	7235	15235
322	7256	15208
323	7276	15182
324	7298	15157
325	7319	15131
326	7340	15107
327	7360	15080
328	7382	15056
329	7403	15031
330	7424	15005
331	7445	14980
332	7465	14954
333	7487	14930
334	7509	14906
335	7530	14880
336	7550	14855
337	7571	14829
338	7593	14806
339	7615	14782
340	7637	14759
341	7658	14734
342	7686	14723
343	7707	14698
344	7728	14672
345	7748	14646
346	7770	14622
347	7791	14597
348	7812	14572
349	7833	14547
350	7853	14521
351	7874	14495
352	7895	14470
353	7916	14445
354	7936	14420
355	7957	14395
356	7986	14385
357	8042	14422
358	8093	14451
359	8114	14426
360	8140	14409
361	8192	14438
362	8215	14416
363	8239	14395
364	8260	14370
365	8280	14343
366	8301	14318
367	8322	14292
368	8343	14268
369	8364	14241
370	8385	14216
371	8405	14190
372	8426	14164
373	8447	14139
374	8468	14114
375	8489	14089
376	8510	14063
377	8532	14039
378	8555	14017
379	8575	13991
380	8596	13966
381	8617	13941
382	8639	13917
383	8659	13891
384	8680	13866
385	8701	13841
386	8722	13816
387	8743	13791
388	8764	13765
389	8785	13741
390	8806	13715
391	8826	13690
392	8847	13664
393	8868	13640
394	8889	13615
395	8910	13590
396	8932	13567
397	8954	13543
398	8976	13521
399	8998	13497
400	9018	13472
401	9039	13446
402	9060	13422
403	9081	13397
404	9102	13372
405	9122	13347
406	9144	13323
407	9166	13300
408	9187	13275
409	9208	13251
410	9229	13226
411	9249	13201
412	9270	13176
413	9291	13152
414	9312	13127
415	9334	13103
416	9354	13078
417	9375	13053
418	9396	13029
419	9417	13004
420	9438	12980
421	9459	12956
422	9480	12932
423	9501	12908
424	9522	12884
425	9543	12859
426	9564	12835
427	9585	12810
428	9606	12785
429	9627	12761
430	9648	12737
431	9669	12713
432	9690	12689
433	9711	12665
434	9732	12640
435	9752	12615
436	9773	12591
437	9793	12566
438	9814	12542
439	9835	12517
440	9856	12494
441	9877	12470
442	9899	12446
443	9920	12422
444	9941	12398
445	9961	12374
446	9982	12349
447	10003	12325
448	10023	12300
449	10043	12275
450	10064	12251
451	10085	12227
452	10112	12211
453	10133	12187
454	10154	12162
455	10175	12138
456	10198	12117
457	10220	12095
458	10243	12072
459	10278	12065
460	10319	12065
461	10378	12085
462	10399	12061
463	10421	12038
464	10451	12025
465	10495	12027
466	10516	12003
467	10539	11980
468	10567	11963
469	10588	11939
470	10608	11915
471	10630	11892
472	10651	11867
473	10672	11843
474	10693	11819
475	10716	11796
476	10736	11772
477	10757	11748
478	10778	11723
479	10798	11698
480	10818	11673
481	10840	11650
482	10861	11625
483	10882	11602
484	10903	11577
485	10923	11553
486	10944	11529
487	10966	11506
488	10987	11482
489	11008	11458
490	11030	11434
491	11051	11410
492	11072	11386
493	11093	11362
494	11114	11339
495	11136	11316
496	11158	11292
497	11179	11269
498	11200	11245
499	11220	11220
500	11241	11196
501	11262	11172
502	11283	11148
503	11304	11124
504	11326	11102
505	11347	11078
506	11369	11055
507	11391	11032
508	11412	11008
509	11433	10984
510	11453	10960
511	11474	10937
512	11495	10913
513	11516	10888
514	11536	10864
515	11557	10840
516	11577	10816
517	11598	10792
518	11621	10770
519	11642	10746
520	11662	10722
521	11683	10698
522	11705	10675
523	11726	10652
524	11747	10628
525	11767	10604
526	11788	10580
527	11809	10557
528	11830	10533
529	11850	10509
530	11871	10485
531	11892	10461
532	11913	10438
533	11933	10414
534	11955	10391
535	11975	10367
536	11997	10343
537	12019	10321
538	12039	10297
539	12060	10274
540	12082	10250
541	12103	10227
542	12124	10204
543	12144	10180
544	12165	10156
545	12186	10133
546	12208	10110
547	12229	10086
548	12250	10063
549	12272	10040
550	12292	10017
551	12313	9993
552	12334	9970
553	12355	9946
554	12376	9923
555	12397	9900
556	12419	9877
557	12440	9854
558	12461	9831
559	12482	9807
560	12503	9784
561	12527	9763
562	12549	9741
563	12577	9723
564	12619	9715
565	12668	9714
566	12693	9693
567	12715	9670
568	12742	9652
569	12786	9645
570	12810	9624
571	12832	9602
572	12854	9579
573	12875	9555
574	12901	9536
575	12928	9516
576	12954	9497
577	12975	9473
578	12995	9449
579	13016	9425
580	13037	9401
581	13057	9378
582	13078	9354
583	13098	9330
584	13119	9307
585	13140	9283
586	13161	9259
587	13181	9236
588	13202	9212
589	13222	9188
590	13243	9164
591	13263	9141
592	13284	9117
593	13304	9093
594	13325	9070
595	13346	9046
596	13368	9024
597	13389	9000
598	13410	8977
599	13432	8954
600	13453	8931
601	13474	8908
602	13495	8884
603	13516	8861
604	13536	8838
605	13557	8814
606	13578	8791
607	13599	8768
608	13621	8745
609	13641	8721
610	13662	8698
611	13683	8674
612	13703	8651
613	13724	8627
614	13747	8606
615	13769	8583
616	13790	8560
617	13810	8536
618	13832	8513
619	13853	8490
620	13874	8467
621	13894	8444
622	13915	8420
623	13935	8397
624	13956	8373
625	13976	8350
626	13997	8327
627	14019	8304
628	14040	8281
629	14060	8258
630	14082	8235
631	14104	8212
632	14126	8190
633	14146	8166
634	14167	8143
635	14190	8121
636	14211	8098
637	14232	8075
638	14254	8052
639	14274	8029
640	14295	8006
641	14316	7983
642	14337	7960
643	14358	7937
644	14380	7914
645	14401	7891
646	14421	7868
647	14443	7845
648	14463	7822
649	14484	7799
650	14504	7776
651	14526	7753
652	14547	7730
653	14568	7707
654	14589	7684
655	14611	7661
656	14633	7639
657	14653	7616
658	14674	7593
659	14695	7570
660	14717	7547
661	14739	7525
662	14760	7502
663	14781	7479
664	14802	7457
665	14823	7434
666	14844	7411
667	14876	7393
668	14932	7388
669	14984	7380
670	15007	7358
671	15030	7336
672	15062	7318
673	15105	7306
674	15126	7283
675	15147	7259
676	15167	7236
677	15189	7213
678	15211	7191
679	15231	7167
680	15253	7145
681	15274	7122
682	15296	7099
683	15317	7076
684	15339	7053
685	15361	7031
686	15382	7008
687	15403	6985
688	15424	6962
689	15444	6939
690	15465	6915
691	15486	6892
692	15507	6870
693	15528	6846
694	15549	6823
695	15570	6800
696	15590	6777
697	15613	6755
698	15633	6731
699	15654	6709
700	15676	6686
701	15698	6664
702	15720	6641
703	15741	6618
704	15761	6595
705	15782	6572
706	15804	6549
707	15825	6526
708	15845	6503
709	15867	6481
710	15887	6457
711	15908	6435
712	15929	6412
713	15950	6388
714	15971	6366
715	15992	6343
716	16014	6320
717	16034	6297
718	16055	6274
719	16076	6251
720	16097	6229
721	16118	6206
722	16138	6183
723	16159	6160
724	16180	6137
725	16202	6115
726	16223	6092
727	16244	6069
728	16266	6046
729	16287	6024
730	16328	6008
731	16349	5985
732	16370	5963
733	16392	5940
734	16413	5917
735	16435	5895
736	16456	5872
737	16477	5849
738	16497	5826
739	16520	5804
740	16540	5781
741	16561	5758
742	16582	5735
743	16613	5716
744	16634	5693
745	16655	5670
746	16675	5647
747	16696	5625
748	16717	5602
749	16738	5579
750	16759	5556
751	16779	5533
752	16801	5511
753	16822	5488
754	16843	5465
755	16863	5442
756	16884	5419
757	16904	5397
758	16925	5374
759	16946	5351
760	16967	5328
761	16988	5306
762	17009	5283
763	17030	5260
764	17051	5238
765	17072	5215
766	17093	5192
767	17114	5169
768	17135	5147
769	17156	5124
770	17187	5104
771	17280	5103
772	17303	5081
773	17332	5060
774	17363	5041
775	17408	5025
776	17431	5002
777	17451	4979
778	17472	4956
779	17493	4934
780	17514	4911
781	17535	4888
782	17556	4865
783	17577	4842
784	17597	4819
785	17619	4797
786	17640	4774
787	17661	4751
788	17683	4729
789	17705	4706
790	17725	4683
791	17747	4660
792	17768	4638
793	17789	4615
794	17810	4592
795	17830	4569
796	17851	4546
797	17873	4524
798	17894	4501
799	17915	4478
800	17936	4456
801	17956	4433
802	17978	4410
803	18007	4389
804	18028	4367
805	18049	4344
806	18069	4321
807	18091	4298
808	18112	4276
809	18132	4253
810	18152	4230
811	18174	4207
812	18197	4185
813	18218	4162
814	18238	4140
815	18259	4117
816	18279	4094
817	18301	4071
818	18323	4049
819	18344	4026
820	18365	4004
821	18385	3981
822	18406	3958
823	18427	3935
824	18448	3913
825	18469	3890
826	18497	3869
827	18518	3846
828	18539	3824
829	18560	3801
830	18581	3778
831	18602	3756
832	18623	3733
833	18643	3710
834	18664	3688
835	18684	3665
836	18705	3642
837	18726	3620
838	18746	3597
839	18767	3574
840	18788	3552
841	18808	3529
842	18829	3506
843	18850	3484
844	18870	3461
845	18891	3438
846	18912	3416
847	18932	3393
848	18953	3371
849	18974	3348
850	18994	3325
851	19015	3303
852	19036	3280
853	19056	3257
854	19078	3235
855	19099	3213
856	19120	3190
857	19141	3167
858	19161	3145
859	19182	3122
860	19204	3100
861	19224	3077
862	19245	3055
863	19267	3032
864	19288	3010
865	19309	2987
866	19330	2965
867	19351	2942
868	19372	2920
869	19393	2897
870	19414	2875
871	19435	2852
872	19455	2830
873	19477	2807
874	19505	2786
875	19595	2773
876	19618	2751
877	19640	2729
878	19662	2706
879	19711	2687
880	19735	2665
881	19756	2643
882	19778	2620
883	19799	2598
884	19819	2575
885	19839	2552
886	19860	2530
887	19881	2507
888	19902	2484
889	19922	2462
890	19944	2439
891	19965	2417
892	19986	2394
893	20009	2372
894	20029	2349
895	20049	2327
896	20082	2306
897	20104	2283
898	20125	2261
899	20146	2238
900	20167	2215
901	20189	2193
902	20210	2171
903	20232	2148
904	20253	2126
905	20274	2103
906	20295	2081
907	20316	2058
908	20337	2035
909	20358	2013
910	20378	1990
911	20399	1968
912	20419	1945
913	20440	1923
914	20461	1900
915	20482	1878
916	20503	1855
917	20525	1833
918	20547	1811
919	20568	1788
920	20589	1766
921	20610	1743
922	20631	1721
923	20651	1698
924	20672	1676
925	20692	1653
926	20720	1631
927	20740	1609
928	20760	1586
929	20781	1564
930	20802	1541
931	20823	1519
932	20843	1496
933	20864	1474
934	20885	1451
935	20907	1429
936	20929	1407
937	20951	1384
938	20972	1362
939	20993	1339
940	21014	1317
941	21035	1295
942	21056	1272
943	21076	1250
944	21097	1227
945	21118	1205
946	21139	1183
947	21160	1160
948	21180	1138
949	21201	1115
950	21221	1093
951	21243	1071
952	21264	1048
953	21285	1026
954	21305	1003
955	21326	981
956	21347	959
957	21368	936
958	21389	914
959	21409	892
960	21430	869
961	21452	847
962	21472	825
963	21493	802
964	21514	780
965	21535	757
966	21556	735
967	21577	713
968	21599	691
969	21620	668
970	21641	646
971	21661	624
972	21682	601
973	21703	579
974	21725	557
975	21746	534
976	21767	512
977	21790	490
978	21851	468
979	21897	446
980	21919	424
981	21947	402
982	21978	380
983	22030	358
984	22055	335
985	22077	313
986	22098	291
987	22119	268
988	22141	246
989	22162	223
990	22189	201
991	22210	179
992	22232	156
993	22252	134
994	22274	111
995	22295	89
996	22316	67
997	22337	44
998	22358	22
999	22378	0
